career,skill_1,skill_2,skill_3,skill_4,skill_5,skill_6,skill_7,skill_8,score
Product Manager,TypeScript,Go,Next.js,React Native,BigQuery,Prototyping,Leadership,Scikit‑learn,81
Product Manager,Go,Hadoop,Copywriting,IAM,Airtable,Leadership,Accessibility,Next.js,52
Product Manager,Analytics,Agile,Prototyping,Prioritization,Scikit‑learn,Copywriting,BigQuery,Roadmapping,96
Product Manager,Roadmapping,BigQuery,Prototyping,Airtable,IAM,Hadoop,Time Series,Analytics,65
Product Manager,Copywriting,Next.js,IAM,Scikit‑learn,Accessibility,React Native,Analytics,Go,81
Product Manager,Go,Leadership,React Native,Analytics,Prototyping,Next.js,Scikit‑learn,Agile,61
Product Manager,Next.js,Communication,Time Series,Analytics,Redis,Roadmapping,IAM,Prioritization,98
Product Manager,Prioritization,Roadmapping,Prototyping,Agile,Redis,React Native,Copywriting,Accessibility,63
Product Manager,Time Series,Go,React Native,Communication,Copywriting,IAM,Agile,Prioritization,50
Product Manager,Next.js,Accessibility,Roadmapping,Prioritization,Time Series,Scikit‑learn,React Native,Prototyping,84
Business Analyst,Diagrams,BigQuery,Vulnerability Scanning,HTML,CI/CD,UX Writing,Power BI,Swift,79
Business Analyst,HTML,Agile,Arduino,Robotics,SQL,Requirements,Kotlin,Excel,98
Business Analyst,UX Writing,SQL,CI/CD,Presentation,Diagrams,BigQuery,Agile,XGBoost,90
Business Analyst,XGBoost,Power BI,SQL,Data Cleaning,Kotlin,Requirements,CI/CD,HTML,86
Business Analyst,Threat Modeling,Diagrams,UX Writing,Agile,Swift,Excel,Kotlin,Vulnerability Scanning,86
Business Analyst,Data Cleaning,BigQuery,UX Writing,SQL,HTML,Excel,Arduino,Robotics,92
Business Analyst,UX Writing,Power BI,Requirements,XGBoost,Swift,Robotics,SQL,CI/CD,95
Business Analyst,CI/CD,SQL,Robotics,Power BI,Agile,Presentation,Kotlin,Swift,93
Business Analyst,Presentation,Requirements,CI/CD,Java,SQL,BigQuery,Vulnerability Scanning,Power BI,53
Business Analyst,Threat Modeling,Kotlin,Agile,SQL,Requirements,Robotics,CI/CD,Excel,88
Business Analyst,CI/CD,Requirements,XGBoost,BigQuery,Excel,Agile,Threat Modeling,Power BI,85
Business Analyst,CI/CD,Kotlin,Power BI,Arduino,SQL,Diagrams,Robotics,Java,65
Systems Analyst,APIs,Scala,AWS,Power BI,Python,Communication,Security,No‑Code,78
Systems Analyst,UML,Angular,Next.js,Vue,Power BI,R,Communication,Sys Design,85
Systems Analyst,Security,iOS,REST API,R,TypeScript,No‑Code,APIs,UML,55
Systems Analyst,UML,Kotlin,Next.js,Sys Design,REST API,Security,APIs,Python,69
Systems Analyst,AWS,Time Series,Python,Security,Sys Design,No‑Code,UML,APIs,69
Systems Analyst,Time Series,Security,Scala,AWS,Kotlin,UML,iOS,Angular,88
Systems Analyst,Angular,No‑Code,APIs,Power BI,Python,Time Series,R,SwiftUI,71
Systems Analyst,Angular,REST API,iOS,APIs,UML,No‑Code,Vue,Time Series,88
Systems Analyst,Python,TypeScript,iOS,No‑Code,Time Series,Sys Design,Security,Next.js,70
Systems Analyst,TypeScript,Time Series,Kotlin,iOS,REST API,Python,Vue,SwiftUI,75
Systems Analyst,Scala,Power BI,No‑Code,Sys Design,R,Angular,Kotlin,APIs,63
Systems Analyst,APIs,TypeScript,Security,Vue,Time Series,UML,iOS,Python,65
Database Administrator,Bash,Zapier,Critical Thinking,Performance,Terraform,GCP,iOS,Threat Modeling,92
Database Administrator,Performance,Redis,Critical Thinking,iOS,TypeScript,Next.js,Agile,Zapier,50
Database Administrator,Threat Modeling,Design Systems,PostgreSQL,Next.js,Zapier,Computer Vision,Redis,Agile,79
Database Administrator,GCP,Next.js,Power BI,Performance,MongoDB,PostgreSQL,Critical Thinking,Zapier,76
Database Administrator,Terraform,Threat Modeling,Power BI,Performance,Wireframing,Redis,PostgreSQL,iOS,63
Database Administrator,Next.js,Computer Vision,Performance,GCP,Threat Modeling,PostgreSQL,Zapier,Bash,78
Database Administrator,TypeScript,Terraform,Wireframing,Critical Thinking,Threat Modeling,MongoDB,Bash,Redis,91
Database Administrator,Threat Modeling,Redis,PostgreSQL,Next.js,GCP,Design Systems,Terraform,Computer Vision,85
Database Administrator,Bash,Backups,PostgreSQL,iOS,Redis,Terraform,TypeScript,Penetration Testing,77
Database Administrator,iOS,MongoDB,Agile,Backups,Bash,Zapier,GCP,Performance,63
Database Administrator,Agile,Design Systems,Terraform,Threat Modeling,Redis,Computer Vision,Backups,Next.js,79
Database Administrator,Threat Modeling,Design Systems,Computer Vision,Next.js,TypeScript,Wireframing,Agile,Backups,75
Data Engineer,Data Cleaning,Flask,Agile,User Research,Arduino,SQL,Airtable,Problem Solving,59
Data Engineer,Spark,Statistics,Data Modeling,FastAPI,Arduino,Prototyping,SQL,Agile,90
Data Engineer,Android,Airtable,Airflow,Arduino,React,FastAPI,SQL,Data Modeling,70
Data Engineer,Git,UX Writing,Problem Solving,R,React,SQL,Flask,Prototyping,85
Data Engineer,Spark,React,Data Modeling,Arduino,Android,Problem Solving,Airflow,Agile,81
Data Engineer,Airtable,SQL,R,Agile,User Research,Android,FastAPI,Flask,84
Data Engineer,User Research,Airtable,Git,React,Flask,Airflow,UX Writing,FastAPI,99
Data Engineer,Android,Problem Solving,Airflow,UX Writing,Git,ETL,Flask,Prototyping,56
Data Engineer,Agile,User Research,UX Writing,Git,ETL,Airtable,Data Modeling,Android,78
Data Engineer,Flask,Agile,Prototyping,Problem Solving,Data Modeling,SQL,User Research,Git,63
Data Engineer,Prototyping,UX Writing,Problem Solving,ETL,Airtable,React,Android,FastAPI,68
Data Engineer,Arduino,ETL,Spark,Flask,FastAPI,Statistics,Git,Prototyping,53
BI Developer,Agile,Problem Solving,Excel,iOS,Node.js,NLP,Presentation,DAX,55
BI Developer,Excel,Copywriting,Agile,NumPy,iOS,Leadership,Power BI,PostgreSQL,50
BI Developer,Node.js,iOS,NumPy,Teamwork,Excel,Communication,Azure,DAX,81
BI Developer,Agile,NLP,PostgreSQL,DAX,Figma,Presentation,Problem Solving,Leadership,71
BI Developer,A/B Testing,Teamwork,Communication,iOS,SQL,DAX,Problem Solving,Node.js,78
BI Developer,iOS,SQL,Problem Solving,Azure,Figma,Teamwork,NLP,Data Modeling,60
BI Developer,Agile,Node.js,NumPy,Teamwork,DAX,Power BI,NLP,Problem Solving,60
BI Developer,A/B Testing,Excel,PostgreSQL,Leadership,Problem Solving,NLP,Teamwork,NumPy,56
BI Developer,SQL,Azure,Data Modeling,Node.js,Figma,PostgreSQL,Communication,Agile,93
BI Developer,iOS,SQL,DAX,NLP,Communication,Problem Solving,Azure,NumPy,58
BI Developer,Data Modeling,Node.js,Leadership,Excel,DAX,NumPy,Copywriting,A/B Testing,56
BI Developer,NLP,NumPy,PostgreSQL,Figma,Excel,Data Modeling,Problem Solving,iOS,58
SEO Specialist,Scikit‑learn,Matplotlib,Analytics,Vulnerability Scanning,SEO,Information Architecture,SOC,PHP,98
SEO Specialist,Agile,Teamwork,Copywriting,Problem Solving,Matplotlib,Linux,Information Architecture,SEO,65
SEO Specialist,Jetpack Compose,SEO,React Native,Excel,Flask,Matplotlib,Analytics,User Research,69
SEO Specialist,Vulnerability Scanning,HTML,Teamwork,JavaScript,Copywriting,Scikit‑learn,User Research,Flask,65
SEO Specialist,PHP,Copywriting,Agile,React Native,JavaScript,User Research,Excel,SOC,83
SEO Specialist,Flask,Problem Solving,User Research,Scikit‑learn,Copywriting,Matplotlib,Analytics,Excel,76
SEO Specialist,Problem Solving,Information Architecture,Linux,PHP,SEO,Flask,Excel,SOC,50
SEO Specialist,Jetpack Compose,Vulnerability Scanning,SOC,Information Architecture,Copywriting,JavaScript,Scikit‑learn,User Research,95
SEO Specialist,HTML,Matplotlib,Teamwork,Copywriting,SEO,User Research,Jetpack Compose,Information Architecture,89
SEO Specialist,Scikit‑learn,Jetpack Compose,SEO,Excel,Information Architecture,Teamwork,Agile,Copywriting,59
SEO Specialist,Information Architecture,User Research,Copywriting,SEO,Excel,Problem Solving,Vulnerability Scanning,Analytics,65
SEO Specialist,SOC,React Native,SEO,Matplotlib,Agile,Teamwork,Excel,HTML,53
Digital Marketer,Pandas,Leadership,Data Cleaning,SEO,JavaScript,Android,MongoDB,Statistics,51
Digital Marketer,Raspberry Pi,Presentation,Pandas,SwiftUI,Flask,SEO,Data Cleaning,Marketing Analytics,90
Digital Marketer,Flask,Vue,Tableau,SwiftUI,Data Cleaning,Critical Thinking,Ads,Marketing Analytics,60
Digital Marketer,Data Cleaning,Leadership,Pandas,No‑Code,SwiftUI,Vue,JavaScript,Android,50
Digital Marketer,MongoDB,Critical Thinking,Ads,JavaScript,Vue,Leadership,Content,Flask,61
Digital Marketer,MongoDB,Android,Presentation,Ads,Raspberry Pi,No‑Code,Content,Data Cleaning,70
Digital Marketer,Pandas,Flask,Data Cleaning,No‑Code,MongoDB,IDS/IPS,SwiftUI,Statistics,83
Digital Marketer,MongoDB,Statistics,Flask,Tableau,Marketing Analytics,IDS/IPS,Presentation,SEO,70
Digital Marketer,Flask,Android,Tableau,Critical Thinking,Data Cleaning,No‑Code,SEO,Marketing Analytics,69
Digital Marketer,JavaScript,Ads,Tableau,Data Cleaning,Vue,Statistics,Android,No‑Code,96
Digital Marketer,Android,Ads,SEO,Critical Thinking,Presentation,SwiftUI,No‑Code,Pandas,72
Digital Marketer,Critical Thinking,Raspberry Pi,JavaScript,Statistics,Marketing Analytics,MongoDB,No‑Code,Pandas,65
Content Strategist,Kubernetes,GraphQL,Ruby,PyTorch,SEO,iOS,Research,Content,54
Content Strategist,GraphQL,IDS/IPS,Editing,Research,SEO,Ruby,Presentation,PyTorch,70
Content Strategist,Go,iOS,GraphQL,Git,Excel,Ruby,Editing,PyTorch,58
Content Strategist,GraphQL,Ruby,SEO,IDS/IPS,PostgreSQL,Jetpack Compose,Git,Presentation,76
Content Strategist,Ruby,Docker,Scala,Content,Git,SEO,Jetpack Compose,Presentation,57
Content Strategist,Kubernetes,PostgreSQL,Problem Solving,Editing,Content,Research,Git,GraphQL,59
Content Strategist,Kubernetes,Jetpack Compose,Scala,Go,Editing,iOS,SEO,Research,61
Content Strategist,A/B Testing,Go,Git,Jetpack Compose,Ruby,PyTorch,Editing,GraphQL,58
Content Strategist,Ruby,A/B Testing,Editing,Jetpack Compose,SEO,IDS/IPS,Research,Content,73
Content Strategist,Kubernetes,GraphQL,Excel,IDS/IPS,A/B Testing,Editing,Ruby,iOS,78
Content Strategist,SEO,Kubernetes,iOS,Ruby,Editing,Jetpack Compose,A/B Testing,GraphQL,86
Content Strategist,Research,Go,Presentation,A/B Testing,GraphQL,iOS,Content,Kubernetes,72
Technical Writer,CSS,UX Writing,A/B Testing,Zero Trust,Bash,Docker,NLP,Clarity,91
Technical Writer,Docs,Scrum,Docker,MongoDB,Bash,CSS,User Research,Scikit‑learn,80
Technical Writer,Docker,CSS,User Research,Docs,Audience,NLP,Power BI,A/B Testing,51
Technical Writer,Audience,Scrum,MongoDB,Zero Trust,UX Writing,Bash,Teamwork,Docs,72
Technical Writer,Teamwork,Scrum,Scikit‑learn,Clarity,Time Management,Audience,Docs,Power BI,84
Technical Writer,UX Writing,Scrum,Bash,User Research,Scikit‑learn,A/B Testing,Clarity,ETL,70
Technical Writer,User Research,Teamwork,MongoDB,Time Management,Power BI,ETL,Clarity,Bash,81
Technical Writer,Docker,ETL,Scikit‑learn,CSS,UX Writing,Docs,MongoDB,Clarity,88
Technical Writer,Scrum,MongoDB,Docs,CSS,Teamwork,Scikit‑learn,ETL,Clarity,58
Technical Writer,Audience,Scikit‑learn,Time Management,UX Writing,MongoDB,A/B Testing,ETL,User Research,59
Technical Writer,Clarity,Docs,User Research,A/B Testing,Docker,CSS,Audience,NLP,87
Technical Writer,Clarity,Audience,ETL,Teamwork,Power BI,A/B Testing,User Research,NLP,90
IT Support Specialist,IAM,No‑Code,Leadership,Windows,Data Cleaning,Problem Solving,Next.js,Angular,52
IT Support Specialist,Leadership,macOS,PostgreSQL,Troubleshooting,Next.js,TensorFlow,Angular,User Research,54
IT Support Specialist,PostgreSQL,User Research,macOS,Leadership,TensorFlow,Problem Solving,Time Management,Arduino,90
IT Support Specialist,macOS,Vue,Windows,Networks,Prototyping,Troubleshooting,User Research,FastAPI,72
IT Support Specialist,Networks,Troubleshooting,Windows,FastAPI,Data Cleaning,PostgreSQL,User Research,Prototyping,60
IT Support Specialist,Problem Solving,Next.js,Data Cleaning,User Research,Arduino,FastAPI,Angular,PostgreSQL,86
IT Support Specialist,PostgreSQL,Leadership,Vue,TensorFlow,FastAPI,No‑Code,Windows,Time Management,66
IT Support Specialist,Troubleshooting,TensorFlow,macOS,Leadership,Data Cleaning,Time Management,User Research,FastAPI,85
IT Support Specialist,TensorFlow,macOS,Next.js,Windows,Problem Solving,Time Management,Angular,IAM,77
IT Support Specialist,Leadership,FastAPI,Troubleshooting,macOS,Prototyping,Arduino,Next.js,User Research,85
IT Support Specialist,Arduino,Networks,IAM,Angular,PostgreSQL,FastAPI,Windows,Prototyping,86
IT Support Specialist,Arduino,Next.js,No‑Code,FastAPI,User Research,Windows,Prototyping,Android,68
IT Project Manager,Design Systems,Problem Solving,Matplotlib,Spark,Agile,R,Raspberry Pi,CSS,74
IT Project Manager,Swift,Scrum,Problem Solving,Information Architecture,Risk,Hadoop,Critical Thinking,Communication,78
IT Project Manager,Kafka,Agile,Hadoop,Information Architecture,R,Stakeholders,Problem Solving,Scrum,92
IT Project Manager,SQL,Stakeholders,Scrum,C++,Hadoop,Agile,Critical Thinking,Redis,83
IT Project Manager,C++,Spark,Matplotlib,Hadoop,Information Architecture,Communication,R,Redis,95
IT Project Manager,R,CSS,Information Architecture,Communication,SQL,Problem Solving,Hadoop,Stakeholders,60
IT Project Manager,Redis,Risk,Communication,R,C++,CSS,Raspberry Pi,Information Architecture,62
IT Project Manager,Communication,Agile,Raspberry Pi,Stakeholders,CSS,Redis,Information Architecture,Kafka,85
IT Project Manager,Raspberry Pi,Agile,CSS,Kafka,Critical Thinking,Problem Solving,Scrum,Design Systems,87
IT Project Manager,CSS,C++,SQL,Information Architecture,Communication,Stakeholders,Design Systems,Risk,87
IT Project Manager,SQL,Risk,Information Architecture,Design Systems,Scrum,Kafka,Redis,Communication,74
IT Project Manager,Matplotlib,Information Architecture,Risk,R,Swift,Communication,Redis,Stakeholders,89
Blockchain Developer,Smart Contracts,Time Management,Scrum,Time Series,Azure,Presentation,GCP,Security,69
Blockchain Developer,Express,C#,Scrum,Presentation,Security,Azure,Jetpack Compose,Time Management,76
Blockchain Developer,Time Series,GCP,Ethereum,Java,Django,GraphQL,Rust,Accessibility,82
Blockchain Developer,Kafka,Rust,GCP,XGBoost,Django,Azure,Presentation,Express,53
Blockchain Developer,Jetpack Compose,Java,Express,GraphQL,Ethereum,Time Series,Azure,Rust,73
Blockchain Developer,Express,GCP,Kafka,Azure,XGBoost,GraphQL,Django,Jetpack Compose,88
Blockchain Developer,Express,Django,Time Series,Ethereum,GCP,Security,Presentation,Rust,97
Blockchain Developer,Security,Smart Contracts,XGBoost,Kafka,Java,Time Management,Presentation,GraphQL,99
Blockchain Developer,Solidity,Jetpack Compose,GraphQL,Time Management,Scrum,C#,GCP,Time Series,51
Blockchain Developer,XGBoost,Time Series,Rust,Django,Time Management,Azure,Accessibility,Smart Contracts,69
Blockchain Developer,Scrum,Presentation,Kafka,Ethereum,Express,Rust,Azure,Jetpack Compose,69
Blockchain Developer,GCP,Kafka,Azure,XGBoost,Ethereum,Scrum,C#,Smart Contracts,88
Smart Contract Engineer,Redis,Auditing,Django,Node.js,Problem Solving,Scrum,Leadership,Presentation,58
Smart Contract Engineer,A/B Testing,React,Solidity,Kotlin,iOS,BigQuery,Presentation,Gas,52
Smart Contract Engineer,HTML,Recommendation Systems,BigQuery,Scrum,Django,Auditing,Kotlin,Presentation,80
Smart Contract Engineer,Gas,Auditing,Solidity,Leadership,HTML,Redis,Node.js,Django,58
Smart Contract Engineer,Kotlin,PHP,Leadership,Scrum,Communication,Tooling,HTML,Presentation,97
Smart Contract Engineer,Solidity,iOS,Scrum,Gas,Kotlin,Recommendation Systems,Redis,Django,57
Smart Contract Engineer,React,Node.js,Communication,Recommendation Systems,BigQuery,Kotlin,HTML,Scrum,74
Smart Contract Engineer,Auditing,Solidity,iOS,Node.js,Redis,Communication,Tooling,Leadership,76
Smart Contract Engineer,HTML,Presentation,Redis,Scrum,Leadership,Problem Solving,Node.js,Django,71
Smart Contract Engineer,Leadership,Scrum,Node.js,A/B Testing,Presentation,Redis,Tooling,Problem Solving,99
Smart Contract Engineer,Leadership,HTML,Recommendation Systems,React,Communication,Auditing,Solidity,BigQuery,90
Smart Contract Engineer,iOS,Problem Solving,Recommendation Systems,React,HTML,A/B Testing,Presentation,Kotlin,62
Computer Vision Engineer,Vulnerability Scanning,BigQuery,CV,Java,Scrum,Agile,JavaScript,GraphQL,60
Computer Vision Engineer,Communication,Node.js,BigQuery,GraphQL,Flutter,Vulnerability Scanning,Agile,Information Architecture,83
Computer Vision Engineer,NLP,Presentation,CV,Time Management,PyTorch,Python,Scrum,Java,60
Computer Vision Engineer,Scrum,CUDA,SEO,GraphQL,CV,Java,Vulnerability Scanning,JavaScript,87
Computer Vision Engineer,Information Architecture,Python,Java,Vulnerability Scanning,Node.js,TensorFlow,NLP,CV,99
Computer Vision Engineer,GraphQL,Node.js,JavaScript,Java,CUDA,PyTorch,Vulnerability Scanning,Time Management,76
Computer Vision Engineer,Flutter,Scrum,Java,Agile,PyTorch,Vulnerability Scanning,Communication,GraphQL,94
Computer Vision Engineer,CUDA,BigQuery,Presentation,Java,Agile,JavaScript,Flutter,Vulnerability Scanning,58
Computer Vision Engineer,Presentation,Java,Information Architecture,JavaScript,BigQuery,Node.js,Scrum,Flutter,81
Computer Vision Engineer,TensorFlow,Time Management,Agile,Information Architecture,JavaScript,Python,Vulnerability Scanning,PyTorch,68
Computer Vision Engineer,Python,Node.js,GraphQL,PyTorch,TensorFlow,Vulnerability Scanning,SEO,Time Management,65
Computer Vision Engineer,CUDA,Time Management,Communication,Java,PyTorch,GraphQL,Node.js,Scrum,82
NLP Engineer,Transformers,Evaluation,Go,Computer Vision,Agile,Python,CSS,Serverless,52
NLP Engineer,Critical Thinking,NLP,Rust,Go,Evaluation,Git,TypeScript,Transformers,67
NLP Engineer,Swift,Evaluation,Go,Rust,Agile,React Native,Git,TypeScript,67
NLP Engineer,Serverless,PyTorch,Computer Vision,Rust,Agile,Swift,Evaluation,Arduino,53
NLP Engineer,Rust,Agile,Computer Vision,PyTorch,Git,Swift,Transformers,React Native,99
NLP Engineer,Evaluation,Critical Thinking,NLP,PyTorch,CSS,Python,React Native,TypeScript,52
NLP Engineer,Swift,Data Cleaning,Go,Critical Thinking,TypeScript,Arduino,Computer Vision,Rust,83
NLP Engineer,CSS,Agile,Computer Vision,TypeScript,PyTorch,Rust,Go,Arduino,91
NLP Engineer,Serverless,NLP,Arduino,Python,Critical Thinking,Go,Swift,Data Cleaning,80
NLP Engineer,PyTorch,Rust,Swift,Recommendation Systems,Go,Agile,Teamwork,NLP,53
NLP Engineer,CSS,TypeScript,Arduino,Serverless,Recommendation Systems,Computer Vision,Agile,Python,79
NLP Engineer,Git,Teamwork,Recommendation Systems,Swift,PyTorch,TypeScript,Rust,Python,81
Robotics Engineer,Zapier,Docker,IAM,C#,Zero Trust,ROS,C++,UX Writing,64
Robotics Engineer,C#,Zero Trust,Docker,React,Problem Solving,Zapier,Kotlin,Sensors,56
Robotics Engineer,Kotlin,UX Writing,Zero Trust,Problem Solving,Raspberry Pi,Jetpack Compose,C#,ROS,94
Robotics Engineer,Java,Sensors,ROS,React,Python,C++,Problem Solving,C#,96
Robotics Engineer,C++,Java,Jetpack Compose,IAM,Zapier,Sensors,Accessibility,React,63
Robotics Engineer,C#,IAM,Zero Trust,Java,C++,UX Writing,Docker,React,87
Robotics Engineer,Java,C#,GCP,Zapier,Python,Kotlin,UX Writing,Jetpack Compose,97
Robotics Engineer,Sensors,Docker,C++,React,ROS,Problem Solving,Raspberry Pi,Communication,96
Robotics Engineer,Python,Java,Scala,Zero Trust,Docker,IAM,Raspberry Pi,Problem Solving,98
Robotics Engineer,Kotlin,Jetpack Compose,Scala,Zero Trust,Raspberry Pi,Accessibility,Docker,Communication,58
Robotics Engineer,C++,Zapier,Raspberry Pi,Zero Trust,IAM,Java,C#,Docker,95
Robotics Engineer,Raspberry Pi,Problem Solving,Python,ROS,Zero Trust,GCP,Sensors,Scala,72
IoT Engineer,Cloud,Penetration Testing,Figma,MQTT,Problem Solving,Security,Teamwork,Wireframing,53
IoT Engineer,Leadership,IAM,Redis,Jetpack Compose,Teamwork,Security,Presentation,Cloud,94
IoT Engineer,Jetpack Compose,Leadership,HTML,Terraform,Scrum,Presentation,Agile,Penetration Testing,89
IoT Engineer,HTML,Agile,MQTT,Problem Solving,Teamwork,IAM,Penetration Testing,Presentation,94
IoT Engineer,Jetpack Compose,Terraform,Problem Solving,HTML,Presentation,Penetration Testing,Wireframing,Redis,85
IoT Engineer,Terraform,Cloud,IAM,Leadership,Android,Presentation,Figma,Wireframing,95
IoT Engineer,Scrum,Teamwork,HTML,Leadership,Penetration Testing,Kubernetes,Agile,Security,93
IoT Engineer,Security,Redis,Teamwork,Penetration Testing,Figma,Leadership,Cloud,Android,67
IoT Engineer,HTML,IAM,Kubernetes,Redis,Teamwork,Cloud,Penetration Testing,Agile,95
IoT Engineer,Kubernetes,Terraform,MQTT,Wireframing,Teamwork,Problem Solving,Penetration Testing,Jetpack Compose,92
IoT Engineer,Jetpack Compose,Arduino,HTML,Scrum,Security,Problem Solving,Penetration Testing,Redis,83
IoT Engineer,Agile,Redis,Penetration Testing,Security,Teamwork,Leadership,IAM,Presentation,75
Solutions Architect,Critical Thinking,UX Writing,Raspberry Pi,Kafka,SEO,Express,Vulnerability Scanning,IAM,89
Solutions Architect,SEO,Cost,Vulnerability Scanning,Problem Solving,UX Writing,TensorFlow,Flask,Scikit‑learn,96
Solutions Architect,IAM,Critical Thinking,Express,Raspberry Pi,Kafka,SEO,CSS,Flask,91
Solutions Architect,TensorFlow,Vulnerability Scanning,Express,Cloud,UX Writing,Architecture,Problem Solving,Scikit‑learn,84
Solutions Architect,Critical Thinking,Cloud,TensorFlow,Architecture,Scala,REST API,Cost,UX Writing,84
Solutions Architect,Scala,Cloud,Flask,Critical Thinking,Kafka,Raspberry Pi,Security,Express,55
Solutions Architect,Cloud,Cost,Security,Scikit‑learn,Time Management,IAM,Scala,UX Writing,66
Solutions Architect,Scala,Problem Solving,Kafka,CSS,Time Management,Security,Critical Thinking,TensorFlow,93
Solutions Architect,UX Writing,Architecture,Critical Thinking,Cloud,Cost,Raspberry Pi,Scala,REST API,72
Solutions Architect,Express,UX Writing,IAM,Architecture,Cloud,Flask,Problem Solving,SEO,74
Solutions Architect,Problem Solving,Critical Thinking,REST API,Security,SEO,Cloud,Raspberry Pi,TensorFlow,84
Solutions Architect,IAM,Flask,Time Management,Raspberry Pi,Critical Thinking,Scikit‑learn,Scala,Kafka,59
Scrum Master,Zero Trust,Go,Python,Azure,SwiftUI,Figma,Impediments,Vue,62
Scrum Master,Figma,Azure,Facilitation,Scrum,Flask,Python,React Native,Vue,66
Scrum Master,Figma,Hadoop,Coaching,React Native,Design Systems,Flask,Go,Zero Trust,65
Scrum Master,Figma,Impediments,Flask,Hadoop,React Native,Scikit‑learn,Scrum,Azure,89
Scrum Master,Impediments,SwiftUI,Python,Design Systems,React Native,Hadoop,Flask,R,70
Scrum Master,Scikit‑learn,Penetration Testing,Zero Trust,Pandas,Design Systems,Flask,React Native,Coaching,71
Scrum Master,Coaching,Scrum,SwiftUI,Design Systems,Impediments,Scikit‑learn,Pandas,Facilitation,61
Scrum Master,Penetration Testing,Flask,Pandas,Python,Hadoop,Go,Design Systems,React Native,54
Scrum Master,Flask,R,Go,SwiftUI,Jetpack Compose,Coaching,Impediments,Figma,52
Scrum Master,Vue,Pandas,Penetration Testing,Coaching,Python,Azure,Hadoop,Figma,99
Scrum Master,SwiftUI,Impediments,Python,Scrum,Flask,Hadoop,Azure,Pandas,50
Scrum Master,Scikit‑learn,Azure,Go,Python,Scrum,Flask,Coaching,Impediments,86
CRM Specialist,Agile,PHP,Copywriting,Flutter,SwiftUI,PyTorch,PostgreSQL,Critical Thinking,52
CRM Specialist,Go,TensorFlow,PHP,Automation,GraphQL,Excel,SwiftUI,PyTorch,61
CRM Specialist,Flutter,Recommendation Systems,Copywriting,FastAPI,Automation,Agile,TensorFlow,SwiftUI,75
CRM Specialist,Copywriting,Recommendation Systems,SwiftUI,GraphQL,Critical Thinking,Automation,FastAPI,PostgreSQL,60
CRM Specialist,PostgreSQL,FastAPI,PHP,Automation,Agile,Salesforce,PyTorch,APIs,73
CRM Specialist,Recommendation Systems,TensorFlow,PostgreSQL,APIs,Go,Copywriting,Reporting,GraphQL,93
CRM Specialist,SwiftUI,Recommendation Systems,Agile,Leadership,APIs,Critical Thinking,TensorFlow,PyTorch,58
CRM Specialist,Salesforce,Recommendation Systems,Leadership,Redis,Reporting,PyTorch,Excel,FastAPI,53
CRM Specialist,Leadership,Automation,Recommendation Systems,PHP,Flutter,Excel,PyTorch,Go,51
CRM Specialist,Excel,FastAPI,Agile,PyTorch,SwiftUI,APIs,PostgreSQL,Salesforce,64
CRM Specialist,APIs,Redis,Leadership,PHP,Automation,FastAPI,Copywriting,Go,71
CRM Specialist,PyTorch,Salesforce,FastAPI,PostgreSQL,Flutter,Agile,GraphQL,Reporting,51
Salesforce Developer,Accessibility,Spark,Swift,Kubernetes,APIs,Scrum,Apex,Raspberry Pi,84
Salesforce Developer,Threat Modeling,C#,Spark,Apex,User Research,Accessibility,IDS/IPS,APIs,83
Salesforce Developer,C#,Salesforce,APIs,Data Cleaning,User Research,Raspberry Pi,Spark,Accessibility,98
Salesforce Developer,Apex,Swift,C#,No‑Code,Design Systems,Salesforce,Data Cleaning,IDS/IPS,55
Salesforce Developer,Raspberry Pi,Accessibility,C#,Design Systems,LWC,Threat Modeling,User Research,Apex,50
Salesforce Developer,Apex,Spark,Swift,IDS/IPS,Threat Modeling,LWC,Scrum,Accessibility,94
Salesforce Developer,Scrum,C#,User Research,Swift,No‑Code,LWC,IDS/IPS,Raspberry Pi,66
Salesforce Developer,Design Systems,Accessibility,C#,User Research,IDS/IPS,Scrum,LWC,Data Cleaning,63
Salesforce Developer,C#,Accessibility,Apex,APIs,Leadership,Spark,Design Systems,IDS/IPS,80
Salesforce Developer,Design Systems,Raspberry Pi,User Research,Data Cleaning,No‑Code,C#,Kafka,Scrum,57
Salesforce Developer,Salesforce,Kafka,Leadership,Swift,LWC,Design Systems,APIs,Data Cleaning,71
Salesforce Developer,Accessibility,Power BI,Leadership,Data Cleaning,Threat Modeling,Spark,Apex,Kubernetes,80
No‑Code Developer,Problem Solving,TensorFlow,React Native,GCP,PHP,R,Logic,Scala,83
No‑Code Developer,Problem Solving,Design Systems,TensorFlow,Accessibility,AWS,Recommendation Systems,Airtable,Scala,52
No‑Code Developer,C#,AWS,R,React Native,Airtable,CI/CD,Webflow,Design Systems,72
No‑Code Developer,Webflow,Recommendation Systems,Design Systems,Accessibility,R,C#,PHP,TensorFlow,55
No‑Code Developer,GraphQL,Problem Solving,Recommendation Systems,C#,Accessibility,Zapier,CI/CD,Logic,88
No‑Code Developer,Design Systems,PHP,Webflow,R,User Research,Airtable,Recommendation Systems,GCP,56
No‑Code Developer,GraphQL,Airtable,Accessibility,Problem Solving,Scala,TensorFlow,Webflow,User Research,66
